subgenus	Status	min_ma	max_ma
Brahmaites	extinct	66	69.9
Brahmaites	extinct	66	69.9
Gunnarites	extinct	66	69.9
Gunnarites	extinct	66	69.9
Gunnarites	extinct	66	69.9
Gunnarites	extinct	66	69.9
Gunnarites	extinct	66	69.9
Gunnarites	extinct	66	69.9
Gunnarites	extinct	66	69.9
Gunnarites	extinct	66	69.9
Gunnarites	extinct	66	69.9
Gunnarites	extinct	66	69.9
Gunnarites	extinct	66	69.9
Gunnarites	extinct	66	69.9
Gunnarites	extinct	66	69.9
Gunnarites	extinct	69.9	72.1
Gunnarites	extinct	69.9	72.1
Brahmaites	extinct	66	72.1
Brahmaites	extinct	66	72.1
Brahmaites	extinct	66	72.1
Brahmaites	extinct	66	72.1
Brahmaites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Gunnarites	extinct	66	72.1
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Canadoceras	extinct	72.1	83.6
Eupachydiscus	extinct	72.1	83.6
Eupachydiscus	extinct	72.1	83.6
Eupachydiscus	extinct	72.1	83.6
Eupachydiscus	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Gunnarites	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Placenticeras	extinct	72.1	83.6
Plesiotexanites	extinct	72.1	83.6
Plesiotexanites	extinct	72.1	83.6
Delawarella	extinct	76.4	83.6
Delawarella	extinct	76.4	83.6
Delawarella	extinct	76.4	83.6
Placenticeras	extinct	76.4	83.6
Placenticeras	extinct	76.4	83.6
Placenticeras	extinct	76.4	83.6
Placenticeras	extinct	76.4	83.6
Placenticeras	extinct	76.4	83.6
Placenticeras	extinct	76.4	83.6
Placenticeras	extinct	76.4	83.6
Placenticeras	extinct	76.4	83.6
Canadoceras	extinct	80.7	83.6
Canadoceras	extinct	80.7	83.6
Canadoceras	extinct	80.7	83.6
Canadoceras	extinct	80.7	83.6
Delawarella	extinct	80.7	83.6
Delawarella	extinct	80.7	83.6
Delawarella	extinct	80.7	83.6
Delawarella	extinct	80.7	83.6
Delawarella	extinct	80.7	83.6
Delawarella	extinct	80.7	83.6
Delawarella	extinct	80.7	83.6
Delawarella	extinct	80.7	83.6
Delawarella	extinct	80.7	83.6
Delawarella	extinct	80.7	83.6
Delawarella	extinct	80.7	83.6
Delawarella	extinct	80.7	83.6
Delawarella	extinct	80.7	83.6
Delawarella	extinct	80.7	83.6
Delawarella	extinct	80.7	83.6
Delawarella	extinct	80.7	83.6
Delawarella	extinct	80.7	83.6
Delawarella	extinct	80.7	83.6
Eupachydiscus	extinct	80.7	83.6
Eupachydiscus	extinct	80.7	83.6
Eupachydiscus	extinct	80.7	83.6
Eupachydiscus	extinct	80.7	83.6
Eupachydiscus	extinct	80.7	83.6
Eupachydiscus	extinct	80.7	83.6
Eupachydiscus	extinct	80.7	83.6
Eupachydiscus	extinct	80.7	83.6
Eupachydiscus	extinct	80.7	83.6
Eupachydiscus	extinct	80.7	83.6
Eupachydiscus	extinct	80.7	83.6
Kossmaticeras	extinct	80.7	83.6
Parapuzosia	extinct	80.7	83.6
Parapuzosia	extinct	80.7	83.6
Parapuzosia	extinct	80.7	83.6
Parapuzosia	extinct	80.7	83.6
Parapuzosia	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Placenticeras	extinct	80.7	83.6
Plesiotexanites	extinct	80.7	83.6
Texanites	extinct	80.7	83.6
Urakawites	extinct	80.7	83.6
Canadoceras	extinct	72.1	76.4
Canadoceras	extinct	72.1	76.4
Delawarella	extinct	72.1	76.4
Delawarella	extinct	72.1	76.4
Delawarella	extinct	72.1	76.4
Delawarella	extinct	72.1	76.4
Eupachydiscus	extinct	72.1	76.4
Eupachydiscus	extinct	72.1	76.4
Eupachydiscus	extinct	72.1	76.4
Eupachydiscus	extinct	72.1	76.4
Gunnarites	extinct	72.1	76.4
Gunnarites	extinct	72.1	76.4
Gunnarites	extinct	72.1	76.4
Menabites	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	76.4
Placenticeras	extinct	72.1	80.7
Canadoceras	extinct	76.4	80.7
Canadoceras	extinct	76.4	80.7
Canadoceras	extinct	76.4	80.7
Canadoceras	extinct	76.4	80.7
Delawarella	extinct	76.4	80.7
Placenticeras	extinct	76.4	80.7
Placenticeras	extinct	76.4	80.7
Placenticeras	extinct	76.4	80.7
Placenticeras	extinct	76.4	80.7
Placenticeras	extinct	76.4	80.7
Placenticeras	extinct	76.4	80.7
Urakawites	extinct	76.4	80.7
Eupachydiscus	extinct	83.6	86.3
Parapuzosia	extinct	83.6	86.3
Texanites	extinct	83.6	86.3
Placenticeras	extinct	85.2	86.3
Canadoceras	extinct	85.6	86.3
Eupachydiscus	extinct	85.6	86.3
Eupachydiscus	extinct	85.6	86.3
Eupachydiscus	extinct	85.6	86.3
Parapuzosia	extinct	85.6	86.3
Paratexanites	extinct	85.6	86.3
Placenticeras	extinct	85.6	86.3
Placenticeras	extinct	85.6	86.3
Placenticeras	extinct	85.6	86.3
Placenticeras	extinct	85.6	86.3
Placenticeras	extinct	85.6	86.3
Placenticeras	extinct	85.6	86.3
Placenticeras	extinct	85.6	86.3
Pleurotexanites	extinct	85.6	86.3
Protexanites	extinct	85.6	86.3
Protexanites	extinct	85.6	86.3
Protexanites	extinct	85.6	86.3
Protexanites	extinct	85.6	86.3
Protexanites	extinct	85.6	86.3
Texanites	extinct	85.6	86.3
Texanites	extinct	85.6	86.3
Texanites	extinct	85.6	86.3
Texanites	extinct	85.6	86.3
Texanites	extinct	85.6	86.3
Texanites	extinct	85.6	86.3
Texanites	extinct	85.6	86.3
Texanites	extinct	85.6	86.3
Texanites	extinct	85.6	86.3
Texasia	extinct	85.6	86.3
Texasia	extinct	85.6	86.3
Texasia	extinct	85.6	86.3
Texasia	extinct	85.6	86.3
Delawarella	extinct	83.6	85.2
Delawarella	extinct	83.6	85.2
Eupachydiscus	extinct	83.6	85.2
Eupachydiscus	extinct	83.6	85.2
Eupachydiscus	extinct	83.6	85.2
Eupachydiscus	extinct	83.6	85.2
Eupachydiscus	extinct	83.6	85.2
Eupachydiscus	extinct	83.6	85.2
Eupachydiscus	extinct	83.6	85.2
Eupachydiscus	extinct	83.6	85.2
Eupachydiscus	extinct	83.6	85.2
Eupachydiscus	extinct	83.6	85.2
Eupachydiscus	extinct	83.6	85.2
Parapuzosia	extinct	83.6	85.2
Parapuzosia	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Placenticeras	extinct	83.6	85.2
Plesiotexanites	extinct	83.6	85.2
Plesiotexanites	extinct	83.6	85.2
Texanites	extinct	83.6	85.2
Texanites	extinct	83.6	85.2
Texanites	extinct	83.6	85.2
Texanites	extinct	83.6	85.2
Texanites	extinct	83.6	85.2
Texanites	extinct	83.6	85.2
Texanites	extinct	83.6	85.2
Texanites	extinct	83.6	85.2
Texanites	extinct	83.6	85.2
Texanites	extinct	83.6	85.2
Texanites	extinct	83.6	85.2
Texanites	extinct	83.6	85.2
Texanites	extinct	83.6	85.2
Texanites	extinct	83.6	85.2
Texanites	extinct	83.6	85.2
Texanites	extinct	83.6	85.2
Texasia	extinct	83.6	85.2
Parapuzosia	extinct	83.6	85.6
Eupachydiscus	extinct	85.2	85.6
Eupachydiscus	extinct	85.2	85.6
Eupachydiscus	extinct	85.2	85.6
Eupachydiscus	extinct	85.2	85.6
Eupachydiscus	extinct	85.2	85.6
Eupachydiscus	extinct	85.2	85.6
Kossmaticeras	extinct	85.2	85.6
Mancosiceras	extinct	85.2	85.6
Plesiotexanites	extinct	85.2	85.6
Protexanites	extinct	85.2	85.6
Protexanites	extinct	85.2	85.6
Texanites	extinct	85.2	85.6
Texanites	extinct	85.2	85.6
Texanites	extinct	85.2	85.6
Texanites	extinct	85.2	85.6
Texanites	extinct	85.2	85.6
Texanites	extinct	85.2	85.6
Texanites	extinct	85.2	85.6
Texanites	extinct	85.2	85.6
Texanites	extinct	85.2	85.6
Texanites	extinct	85.2	85.6
Texanites	extinct	85.2	85.6
Texanites	extinct	85.2	85.6
Texanites	extinct	85.2	85.6
Texanites	extinct	85.2	85.6
Texanites	extinct	85.2	85.6
Canadoceras	extinct	83.6	86.3
Canadoceras	extinct	83.6	86.3
Canadoceras	extinct	83.6	86.3
Eupachydiscus	extinct	83.6	86.3
Eupachydiscus	extinct	83.6	86.3
Eupachydiscus	extinct	83.6	86.3
Kossmaticeras	extinct	83.6	86.3
Kossmaticeras	extinct	83.6	86.3
Mancosiceras	extinct	83.6	86.3
Parapuzosia	extinct	83.6	86.3
Parapuzosia	extinct	83.6	86.3
Parapuzosia	extinct	83.6	86.3
Placenticeras	extinct	83.6	86.3
Placenticeras	extinct	83.6	86.3
Placenticeras	extinct	83.6	86.3
Placenticeras	extinct	83.6	86.3
Placenticeras	extinct	83.6	86.3
Placenticeras	extinct	83.6	86.3
Placenticeras	extinct	83.6	86.3
Plesiotexanites	extinct	83.6	86.3
Plesiotexanites	extinct	83.6	86.3
Protexanites	extinct	83.6	86.3
Protexanites	extinct	83.6	86.3
Texanites	extinct	83.6	86.3
Texanites	extinct	83.6	86.3
Texanites	extinct	83.6	86.3
Texanites	extinct	83.6	86.3
Texanites	extinct	83.6	86.3
Texanites	extinct	83.6	86.3
Texanites	extinct	83.6	86.3
Texanites	extinct	83.6	86.3
Texanites	extinct	83.6	86.3
Texanites	extinct	83.6	86.3
Texasia	extinct	83.6	86.3
Buchiceras	extinct	86.3	89.8
Buchiceras	extinct	86.3	89.8
Eupachydiscus	extinct	86.3	89.8
Eupachydiscus	extinct	86.3	89.8
Forresteria	extinct	86.3	89.8
Forresteria	extinct	86.3	89.8
Forresteria	extinct	86.3	89.8
Forresteria	extinct	86.3	89.8
Forresteria	extinct	86.3	89.8
Forresteria	extinct	86.3	89.8
Forresteria	extinct	86.3	89.8
Forresteria	extinct	86.3	89.8
Forresteria	extinct	86.3	89.8
Gauthiericeras	extinct	86.3	89.8
Gauthiericeras	extinct	86.3	89.8
Gauthiericeras	extinct	86.3	89.8
Gauthiericeras	extinct	86.3	89.8
Gauthiericeras	extinct	86.3	89.8
Gauthiericeras	extinct	86.3	89.8
Gauthiericeras	extinct	86.3	89.8
Gauthiericeras	extinct	86.3	89.8
Gauthiericeras	extinct	86.3	89.8
Gauthiericeras	extinct	86.3	89.8
Harleites	extinct	86.3	89.8
Harleites	extinct	86.3	89.8
Harleites	extinct	86.3	89.8
Harleites	extinct	86.3	89.8
Harleites	extinct	86.3	89.8
Harleites	extinct	86.3	89.8
Harleites	extinct	86.3	89.8
Kossmaticeras	extinct	86.3	89.8
Kossmaticeras	extinct	86.3	89.8
Kossmaticeras	extinct	86.3	89.8
Kossmaticeras	extinct	86.3	89.8
Parapuzosia	extinct	86.3	89.8
Paratexanites	extinct	86.3	89.8
Paratexanites	extinct	86.3	89.8
Paratexanites	extinct	86.3	89.8
Paratexanites	extinct	86.3	89.8
Placenticeras	extinct	86.3	89.8
Placenticeras	extinct	86.3	89.8
Placenticeras	extinct	86.3	89.8
Placenticeras	extinct	86.3	89.8
Placenticeras	extinct	86.3	89.8
Placenticeras	extinct	86.3	89.8
Placenticeras	extinct	86.3	89.8
Placenticeras	extinct	86.3	89.8
Placenticeras	extinct	86.3	89.8
Protexanites	extinct	86.3	89.8
Protexanites	extinct	86.3	89.8
Protexanites	extinct	86.3	89.8
Protexanites	extinct	86.3	89.8
Texanites	extinct	86.3	89.8
Texanites	extinct	86.3	89.8
Texanites	extinct	86.3	89.8
Texanites	extinct	86.3	89.8
Texanites	extinct	86.3	89.8
Texanites	extinct	86.3	89.8
Texanites	extinct	86.3	89.8
Texasia	extinct	86.3	89.8
Tissotioides	extinct	86.3	89.8
Tissotioides	extinct	86.3	89.8
Buchiceras	extinct	88.7	89.8
Forresteria	extinct	88.7	89.8
Forresteria	extinct	88.7	89.8
Forresteria	extinct	88.7	89.8
Forresteria	extinct	88.7	89.8
Forresteria	extinct	88.7	89.8
Forresteria	extinct	88.7	89.8
Forresteria	extinct	88.7	89.8
Forresteria	extinct	88.7	89.8
Forresteria	extinct	88.7	89.8
Forresteria	extinct	88.7	89.8
Forresteria	extinct	88.7	89.8
Forresteria	extinct	88.7	89.8
Gauthiericeras	extinct	88.7	89.8
Gauthiericeras	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Harleites	extinct	88.7	89.8
Kossmaticeras	extinct	88.7	89.8
Kossmaticeras	extinct	88.7	89.8
Kossmaticeras	extinct	88.7	89.8
Kossmaticeras	extinct	88.7	89.8
Kossmaticeras	extinct	88.7	89.8
Parapuzosia	extinct	88.7	89.8
Placenticeras	extinct	88.7	89.8
Placenticeras	extinct	88.7	89.8
Placenticeras	extinct	88.7	89.8
Placenticeras	extinct	88.7	89.8
Placenticeras	extinct	88.7	89.8
Placenticeras	extinct	88.7	89.8
Placenticeras	extinct	88.7	89.8
Placenticeras	extinct	88.7	89.8
Placenticeras	extinct	88.7	89.8
Protexanites	extinct	88.7	89.8
Protexanites	extinct	88.7	89.8
Subprionotropis	extinct	88.7	89.8
Texanites	extinct	88.7	89.8
Texanites	extinct	88.7	89.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	86.8
Parapuzosia	extinct	86.3	86.8
Parapuzosia	extinct	86.3	86.8
Paratexanites	extinct	86.3	86.8
Paratexanites	extinct	86.3	86.8
Paratexanites	extinct	86.3	86.8
Paratexanites	extinct	86.3	86.8
Paratexanites	extinct	86.3	86.8
Paratexanites	extinct	86.3	86.8
Paratexanites	extinct	86.3	86.8
Paratexanites	extinct	86.3	86.8
Paratexanites	extinct	86.3	86.8
Placenticeras	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Protexanites	extinct	86.3	86.8
Subprionotropis	extinct	86.3	86.8
Texanites	extinct	86.3	86.8
Texanites	extinct	86.3	86.8
Texanites	extinct	86.3	86.8
Gauthiericeras	extinct	86.3	88.7
Protexanites	extinct	86.3	88.7
Protexanites	extinct	86.3	88.7
Eupachydiscus	extinct	86.8	88.7
Forresteria	extinct	86.8	88.7
Forresteria	extinct	86.8	88.7
Forresteria	extinct	86.8	88.7
Forresteria	extinct	86.8	88.7
Forresteria	extinct	86.8	88.7
Gauthiericeras	extinct	86.8	88.7
Gauthiericeras	extinct	86.8	88.7
Gauthiericeras	extinct	86.8	88.7
Gauthiericeras	extinct	86.8	88.7
Gauthiericeras	extinct	86.8	88.7
Gauthiericeras	extinct	86.8	88.7
Gauthiericeras	extinct	86.8	88.7
Gauthiericeras	extinct	86.8	88.7
Gauthiericeras	extinct	86.8	88.7
Gauthiericeras	extinct	86.8	88.7
Gauthiericeras	extinct	86.8	88.7
Gauthiericeras	extinct	86.8	88.7
Gauthiericeras	extinct	86.8	88.7
Harleites	extinct	86.8	88.7
Harleites	extinct	86.8	88.7
Harleites	extinct	86.8	88.7
Harleites	extinct	86.8	88.7
Harleites	extinct	86.8	88.7
Kossmaticeras	extinct	86.8	88.7
Kossmaticeras	extinct	86.8	88.7
Kossmaticeras	extinct	86.8	88.7
Kossmaticeras	extinct	86.8	88.7
Kossmaticeras	extinct	86.8	88.7
Kossmaticeras	extinct	86.8	88.7
Kossmaticeras	extinct	86.8	88.7
Kossmaticeras	extinct	86.8	88.7
Paratexanites	extinct	86.8	88.7
Paratexanites	extinct	86.8	88.7
Paratexanites	extinct	86.8	88.7
Paratexanites	extinct	86.8	88.7
Paratexanites	extinct	86.8	88.7
Paratexanites	extinct	86.8	88.7
Paratexanites	extinct	86.8	88.7
Paratexanites	extinct	86.8	88.7
Placenticeras	extinct	86.8	88.7
Placenticeras	extinct	86.8	88.7
Placenticeras	extinct	86.8	88.7
Placenticeras	extinct	86.8	88.7
Placenticeras	extinct	86.8	88.7
Placenticeras	extinct	86.8	88.7
Placenticeras	extinct	86.8	88.7
Placenticeras	extinct	86.8	88.7
Placenticeras	extinct	86.8	88.7
Placenticeras	extinct	86.8	88.7
Placenticeras	extinct	86.8	88.7
Placenticeras	extinct	86.8	88.7
Placenticeras	extinct	86.8	88.7
Placenticeras	extinct	86.8	88.7
Placenticeras	extinct	86.8	88.7
Placenticeras	extinct	86.8	88.7
Protexanites	extinct	86.8	88.7
Protexanites	extinct	86.8	88.7
Protexanites	extinct	86.8	88.7
Tissotioides	extinct	86.8	88.7
Tissotioides	extinct	86.8	88.7
Tissotioides	extinct	86.8	88.7
Tissotioides	extinct	86.8	88.7
Tissotioides	extinct	86.8	88.7
Tissotioides	extinct	86.8	88.7
Tissotioides	extinct	86.8	88.7
Tissotioides	extinct	86.8	88.7
Tissotioides	extinct	86.8	88.7
Tissotioides	extinct	86.8	88.7
Tissotioides	extinct	86.8	88.7
Tissotioides	extinct	86.8	88.7
Benueites	extinct	91.4	93.9
Fagesia	extinct	91.4	93.9
Fagesia	extinct	91.4	93.9
Fagesia	extinct	91.4	93.9
Fagesia	extinct	91.4	93.9
Kamerunoceras	extinct	91.4	93.9
Kamerunoceras	extinct	91.4	93.9
Kamerunoceras	extinct	91.4	93.9
Mammites	extinct	91.4	93.9
Mammites	extinct	91.4	93.9
Mammites	extinct	91.4	93.9
Mitonia	extinct	91.4	93.9
Pachydesmoceras	extinct	91.4	93.9
Pachydesmoceras	extinct	91.4	93.9
Pseudaspidoceras	extinct	91.4	93.9
Romaniceras	extinct	91.4	93.9
Watinoceras	extinct	91.4	93.9
Watinoceras	extinct	91.4	93.9
Watinoceras	extinct	91.4	93.9
Watinoceras	extinct	91.4	93.9
